"Season","Season type","Mode","Referee","Games","Total fouls","Shooting","Personal","Loose ball","Personal take","Offensive charge","Offensive","Kicked ball","Technical","Defensive goaltending","Shooting block","Defensive 3 seconds","Delay of game","Personal block","Flagrant 1","Away from play","Double technical","Clear path","Double personal","Inbound foul","Delay technical","Lane violation","Jump ball violation","Flagrant 2","Hanging technical","Unsportsmanlike technical","Taunting technical","Excess timeout technical","Double lane","Too many players technical"
"2019-20","Regular Season","Total","Mousa Dagher",32,467,187,172,29,25,21,0,6,10,8,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Natalie Sago",32,388,216,104,17,15,13,2,3,11,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Nate Green",27,342,174,101,15,14,8,6,5,10,2,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Nick Buchert",55,853,354,308,55,25,24,14,19,14,7,0,11,9,0,4,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Pat Fraher",53,750,403,203,27,18,16,10,14,25,5,0,5,12,0,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Phenizee Ransom",29,329,163,115,9,13,11,5,6,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"2019-20","Regular Season","Total","Ray Acosta",49,718,364,230,45,16,18,5,12,14,4,0,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Rodney Mott",48,681,278,223,66,25,27,11,13,4,9,0,7,7,0,2,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Scott Foster",53,845,388,249,57,38,30,9,17,13,17,0,7,11,0,1,1,0,1,0,0,2,1,1,0,0,1,0,1,0,0
"2019-20","Regular Season","Total","Scott Twardoski",53,726,333,250,44,32,18,2,16,13,8,0,1,5,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Scott Wall",42,637,314,206,37,16,16,5,17,12,8,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Sean Corbin",53,814,398,275,20,32,16,15,7,6,18,0,5,11,0,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Sean Wright",51,811,369,272,47,29,26,9,14,9,14,0,7,4,0,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Simone Jelks",16,177,83,71,8,3,1,1,6,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Suyash Mehta",13,119,49,45,5,6,5,0,1,1,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Tom Washington",47,592,284,217,18,17,12,6,10,7,3,0,4,5,0,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Tony Brothers",54,744,357,210,47,27,28,6,11,15,7,0,15,13,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2019-20","Regular Season","Total","Tony Brown",54,858,350,333,48,25,22,3,18,15,10,0,9,13,0,2,3,4,0,1,0,1,0,0,0,0,1,0,0,0,0
"2019-20","Regular Season","Total","Tre Maddox",54,765,346,258,45,20,27,7,21,18,3,0,4,10,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Tyler Ford",55,858,390,311,48,25,23,3,11,19,9,0,9,5,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Zach Zarba",52,772,359,237,56,38,24,7,13,14,6,0,4,3,0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0
